entry_id,repetition,line_id,abstraction_similarity,surface_similarity
E002,3,L025,0.37603286,0.4006767
E002,3,L026,0.21442092,0.22531051
E002,3,L027,0.34129316,0.34640026
E002,3,L028,0.27551232,0.33290088
E002,3,L031,0.30983099,0.20648658
E002,3,L032,0.33502068,0.39890389
E002,3,L033,0.50902639,0.15610312
E002,3,L034,0.32150065,0.27589457
E002,3,L035,0.27708907,0.30974656
E002,3,L036,0.33412468,0.2380612
E002,3,L037,0.30914238,0.18023903
E002,3,L038,0.27815021,0.27682093
E002,3,L041,0.29602354,0.31420746
E002,3,L042,0.14822768,0.25051549
E002,3,L043,0.25410809,0.22126685
E002,3,L044,0.19825549,0.1996393
E002,3,L045,0.36204852,0.24440048
E002,3,L046,0.20850693,0.29617205
E002,3,L047,0.31253265,0.44199359
E002,3,L048,0.30626781,0.26354629
E002,3,L051,0.32241094,0.2280605
E002,3,L052,0.34411013,0.20088501
E002,3,L053,0.24066584,0.37860239
E002,3,L054,0.34433478,0.25582419
E002,3,L055,0.380487,0.21699724
E002,3,L056,0.22211803,0.18343477
E002,3,L057,0.24361474,0.26333353
E002,3,L058,0.35178738,0.20489363
E002,3,L061,0.32630748,0.15255448
E002,3,L062,0.28883328,0.2422385
E002,3,L063,0.25630611,0.16055013
E002,3,L064,0.40873601,0.35477783
E002,3,L065,0.27471857,0.29820877
E002,3,L066,0.27052442,0.20276208
E002,3,L067,0.29884555,0.15738668
E002,3,L068,0.3311663,0.16451575
E002,3,L071,0.25345154,0.31770129
E002,3,L072,0.2812561,0.15500313
E002,3,L073,0.20147077,0.20773089
E002,3,L074,0.24575061,0.21420544
E002,3,L075,0.32952865,0.30349209
E002,3,L076,0.3206108,0.20657688
E002,3,L077,0.39386153,0.2865621
E002,3,L078,0.25719049,0.29678034
E002,3,L081,0.29112063,0.23443097
E002,3,L082,0.27663365,0.32937063
E002,3,L083,0.30330163,0.25868578
E002,3,L084,0.26985393,0.23607764
E002,3,L085,0.37508012,0.18450631
E002,3,L086,0.1733862,0.29488232
E002,3,L087,0.31436443,0.28955144
E002,3,L088,0.28063833,0.24144182
E002,3,L091,0.34741472,0.35666864
E002,3,L092,0.28974047,0.39747815
E002,3,L093,0.23553036,0.26837794
E002,3,L094,0.22509087,0.25447149
E002,3,L095,0.29763542,0.36350175
E002,3,L096,0.26076329,0.37447587
E002,3,L097,0.35620176,0.32923835
E002,3,L098,0.21792469,0.34693987
E002,3,L101,0.45774265,0.32990119
E002,3,L102,0.34088285,0.20960668
E002,3,L103,0.32942023,0.28172923
E002,3,L104,0.28909887,0.24484161
E002,3,L105,0.38272138,0.22266731
E002,3,L106,0.30356261,0.34063454
E002,3,L107,0.31543257,0.30508488
E002,3,L108,0.29790298,0.19984282
E002,3,L111,0.1824558,0.28083212
E002,3,L112,0.26719112,0.17488368
E002,3,L113,0.32309066,0.23658237
E002,3,L114,0.33698496,0.31752712
E002,3,L115,0.23455998,0.15046225
E002,3,L116,0.31006124,0.31884377
E002,3,L117,0.2817937,0.29116351
E002,3,L118,0.3724258,0.20394497
E003,1,L001,0.4914522,0.31471875
E003,1,L002,0.39028834,0.46785488
E003,1,L003,0.40102241,0.23352324
E003,1,L004,0.55661925,0.17748176
E003,1,L005,0.53597816,0.39059939
E003,1,L006,0.443301,0.18945874
E003,1,L007,0.39329908,0.21255858
E003,1,L008,0.638979,0.44887834
E003,1,L011,0.30743024,0.17316841
E003,1,L012,0.4641847,0.1963141
E003,1,L013,0.26713024,0.15368176
E003,1,L014,0.36614624,0.2612773
E003,1,L015,0.40798348,0.19127563
E003,1,L016,0.26079447,0.2119708
E003,1,L017,0.25172732,0.15488937
E003,1,L018,0.34383976,0.27565137
E003,1,L021,0.33081391,0.16395624
E003,1,L022,0.36049491,0.20728444
E003,1,L023,0.27255263,0.14573897
E003,1,L024,0.3004625,0.15939556
E003,1,L025,0.26880198,0.3077168
E003,1,L026,0.19641522,0.12659619
E003,1,L027,0.3153481,0.2213375
E003,1,L028,0.26224063,0.16329267
E003,1,L031,0.35856541,0.16895636
E003,1,L032,0.35301701,0.24367233
E003,1,L033,0.25529644,0.16422461
E003,1,L034,0.28835559,0.14540232
E003,1,L035,0.32238795,0.20107255
E003,1,L036,0.3800591,0.2043584
E003,1,L037,0.38032245,0.18641855
